Issue Number,Airtel Site ID,Alarm Start Time,DURATION,MTTR,Root Cause,Category,Sub-Cat 1,Sub-Cat 2,Sub-Cat 3,Underlying Cause,AIRTEL CLASS,key,incident date,Cat,S-Cat1,S-Cat2,S-Cat3
6950482,AB1391,2023-01-01 08:21:00,11.999999997206032,0.1999999999534338,Power,,,,,Emergency Stop Alarm,Silver,6950482_2023-01-01 08:21:00,2023-01-01,Other Issues,Others,Others,Others
6950108,KD0104,2023-01-01 06:35:00,36.00000000209548,0.6000000000349246,Power,,,,,Low Engine Oil,Platinum,6950108_2023-01-01 06:35:00,2023-01-01,Generator,Mechanical,Engine,Low Engine Oil
6952380,KD0112,2023-01-01 16:46:00,8.000000005122274,0.1333333334187045,Power,,,,,Under Frequency,Gold,6952380_2023-01-01 16:46:00,2023-01-01,Other Issues,Others,Others,Others
6952420,KD0113,2023-01-01 18:19:00,70.0,1.1666666666278616,Power,,,,,Weak DG,Silver,6952420_2023-01-01 18:19:00,2023-01-01,Other Issues,Others,Others,Others
6949922,KD0625,2023-01-01 04:03:00,237.0000000076834,3.950000000128057,Power,,,,,Faulty Contactor Relay,Silver,6949922_2023-01-01 04:03:00,2023-01-01,Other Issues,Others,Others,Others
6950113,KD0713,2023-01-01 06:52:00,29.99999999301508,0.4999999998835847,Power,,,,,Weak DG,Silver,6950113_2023-01-01 06:52:00,2023-01-01,Other Issues,Others,Others,Others
6951195,KD2257,2023-01-01 11:45:00,80.99999999,1.3499999998603016,Power,,,,,Under Frequency,Silver,6951195_2023-01-01 11:45:00,2023-01-01,Other Issues,Others,Others,Others
6952139,KD2257,2023-01-01 16:32:00,155.0000000023283,2.5833333333721384,Power,,,,,Faulty Fuel Governor,Silver,6952139_2023-01-01 16:32:00,2023-01-01,Generator,Mechanical,Fuel,Low Diesel
6952835,KN0363,2023-01-01 19:52:00,30.00000000349246,0.5000000000582077,Power,,,,,Hybrid Automation Failure,Gold,6952835_2023-01-01 19:52:00,2023-01-01,Hybrid Issues,Others,Others,Others
6951211,KN1018,2023-01-01 11:29:00,126.99999999487773,2.1166666665812954,Power,,,,,Faulty Fuel Solenoid Switch,Silver,6951211_2023-01-01 11:29:00,2023-01-01,Generator,Mechanical,Fuel,Low Diesel
6950116,KT0246,2023-01-01 06:17:00,64.99999999185093,1.0833333331975157,Power,,,,,Flat Starter Battery,Silver,6950116_2023-01-01 06:17:00,2023-01-01,Other Equipment,Battery,Starter Batteries,Starter Batteries
6952951,NI0053,2023-01-01 19:24:00,59.00000000372529,0.9833333333954216,Power,,,,,Other,Gold,6952951_2023-01-01 19:24:00,2023-01-01,Other Issues,Others,Others,Others
6952806,NI0522,2023-01-01 19:46:00,81.00000000209548,1.3500000000349246,Power,,,,,Other,Silver,6952806_2023-01-01 19:46:00,2023-01-01,Other Issues,Others,Others,Others
6953426,AB0356,2023-01-02 01:23:00,280.0000000011641,4.666666666686069,Power,,,,,Faulty Charging Alternator,Silver,6953426_2023-01-02 01:23:00,2023-01-02,Generator,Electrical,Charging Alternator,Failure
6953478,AB9019,2023-01-02 02:00:00,587.9999999993015,9.799999999988358,Power,,,,,Rectifier Fault,Silver,6953478_2023-01-02 02:00:00,2023-01-02,Other Equipment,Rectifier,Others,Others
6953675,KD0857,2023-01-02 03:53:00,146.99999999720603,2.449999999953434,Power,,,,,Low Engine Oil,Silver,6953675_2023-01-02 03:53:00,2023-01-02,Generator,Mechanical,Engine,Low Engine Oil
6954415,NI0322,2023-01-02 09:10:00,47.99999999930151,0.7999999999883585,Power,,,,,Low Engine Oil,Silver,6954415_2023-01-02 09:10:00,2023-01-02,Generator,Mechanical,Engine,Low Engine Oil
6954631,KD0786,2023-01-02 10:11:00,28.0,0.466666667,Power,,,,,Site Vandalized,Silver,6954631_2023-01-02 10:11:00,2023-01-02,Theft,Generator Theft,Others,Others
6955164,KD0052,2023-01-02 12:08:00,49.99999999534339,0.8333333332557231,Power,,,,,Faulty Injector Pump,Silver,6955164_2023-01-02 12:08:00,2023-01-02,Generator,Mechanical,Injector Pump,Faulty Injector Pump
6955356,NI0018,2023-01-02 10:47:00,52.000000001862645,0.8666666666977108,Power,,,,,Faulty Charging Alternator,Gold,6955356_2023-01-02 10:47:00,2023-01-02,Generator,Electrical,Charging Alternator,Failure
6955906,KD0857,2023-01-02 15:07:00,100.00000000116415,1.6666666666860692,Power,,,,,Low Fuel,Silver,6955906_2023-01-02 15:07:00,2023-01-02,Generator,Mechanical,Fuel,Low Diesel
6956361,JG0474,2023-01-02 17:32:00,75.99999999627471,1.2666666666045785,Power,,,,,Batteries Disconnected,Silver,6956361_2023-01-02 17:32:00,2023-01-02,Other Issues,Others,Others,Others
6956450,KD0113,2023-01-02 17:55:00,164.99999999301508,2.7499999998835847,Power,,,,,Other,Silver,6956450_2023-01-02 17:55:00,2023-01-02,Other Issues,Others,Others,Others
6956461,KD0306,2023-01-02 18:09:00,29.00000000023283,0.4833333333372138,Power,,,,,Faulty Charging Alternator,Silver,6956461_2023-01-02 18:09:00,2023-01-02,Generator,Electrical,Charging Alternator,Failure
6957020,KB0273,2023-01-02 20:43:00,17.0,0.283333333,Power,,,,,Dirty Fuel Filter,Silver,6957020_2023-01-02 20:43:00,2023-01-02,Generator,Mechanical,Fuel,Others
6957251,KD0786,2023-01-02 23:01:00,58.00000000046566,0.9666666666744276,Power,,,,,,Silver,6957251_2023-01-02 23:01:00,2023-01-02,Other Issues,Others,Others,Others
6957251,KD0786,2023-01-03 00:00:00,380.99999999511056,6.349999999918509,Power,,,,,Site Vandalized,Silver,6957251_2023-01-03 00:00:00,2023-01-03,Theft,Generator Theft,Others,Others
6958768,NI0560,2023-01-03 10:43:00,91.99999999604188,1.5333333332673649,Power,,,,,Flat Starter Battery,Silver,6958768_2023-01-03 10:43:00,2023-01-03,Other Equipment,Battery,Starter Batteries,Starter Batteries
6959038,KN0229,2023-01-03 12:25:00,21.999999998370185,0.3666666666395031,Power,,,,,Faulty Injector Pump,Silver,6959038_2023-01-03 12:25:00,2023-01-03,Generator,Mechanical,Injector Pump,Faulty Injector Pump
6959103,KN0308,2023-01-03 12:40:00,10.999999993946403,0.183333333,Power,,,,,Faulty Charging Alternator,Silver,6959103_2023-01-03 12:40:00,2023-01-03,Generator,Electrical,Charging Alternator,Failure
6959278,NI0281,2023-01-03 13:29:00,34.00000001,0.566666667,Power,,,,,Low Water Level Alarm,Silver,6959278_2023-01-03 13:29:00,2023-01-03,Other Issues,Others,Others,Others
6960110,ab1293,2023-01-03 18:18:00,99.00000001,1.6500000001396984,Power,,,,,Faulty Radiator,Silver,6960110_2023-01-03 18:18:00,2023-01-03,Other Issues,Others,Others,Others
6960247,KN0326,2023-01-03 18:35:00,60.99999999976717,1.0166666666627862,Power,,,,,Faulty Contactor Relay,Silver,6960247_2023-01-03 18:35:00,2023-01-03,Other Issues,Others,Others,Others
6960716,KN1818,2023-01-03 20:09:00,33.00000000279397,0.5500000000465661,Power,,,,,Faulty Injector Pump,Silver,6960716_2023-01-03 20:09:00,2023-01-03,Generator,Mechanical,Injector Pump,Faulty Injector Pump
6961199,KD0854,2023-01-03 21:23:00,75.00000000349246,1.2500000000582077,Power,,,,,Flat Starter Battery,Silver,6961199_2023-01-03 21:23:00,2023-01-03,Other Equipment,Battery,Starter Batteries,Starter Batteries
6962032,ZM0204,2023-01-04 04:02:00,36.00000000209548,0.6000000000349246,Power,,,,,Faulty Contactor Relay,Silver,6962032_2023-01-04 04:02:00,2023-01-04,Other Issues,Others,Others,Others
6962148,FC2508,2023-01-04 05:03:00,39.00000000139698,0.6500000000232831,Power,,,,,Fuel Theft,Silver,6962148_2023-01-04 05:03:00,2023-01-04,Generator,Mechanical,Fuel,Others
6962206,SK0270,2023-01-04 05:37:00,55.00000000116415,0.9166666666860692,Power,,,,,Faulty Contactor Relay,Silver,6962206_2023-01-04 05:37:00,2023-01-04,Other Issues,Others,Others,Others
6962305,KD0403,2023-01-04 05:47:00,71.00000000093132,1.1833333333488554,Power,,,,,Faulty Contactor Relay,Silver,6962305_2023-01-04 05:47:00,2023-01-04,Other Issues,Others,Others,Others
6962487,KD0417,2023-01-04 05:41:00,59.00000000372529,0.9833333333954216,Power,,,,,Low Water Level Alarm,Silver,6962487_2023-01-04 05:41:00,2023-01-04,Other Issues,Others,Others,Others
6962736,KD0866,2023-01-04 08:34:00,63.99999999906868,1.0666666666511446,Power,,,,,Faulty Fuel Governor,Silver,6962736_2023-01-04 08:34:00,2023-01-04,Generator,Mechanical,Fuel,Low Diesel
6963889,AB0098,2023-01-04 12:39:00,26.000000000931323,0.4333333333488554,Power,,,,,Hybrid Automation Failure,Silver,6963889_2023-01-04 12:39:00,2023-01-04,Hybrid Issues,Others,Others,Others
6964225,NI0030,2023-01-04 14:03:00,59.99999999650754,0.9999999999417925,Power,,,,,Tripped DG & Mains Circuit Breakers,Platinum,6964225_2023-01-04 14:03:00,2023-01-04,Generator,Electrical,Breaker,Tripped Circuit Breaker
6964716,KD0039,2023-01-04 15:53:00,36.999999994877726,0.6166666665812954,Power,,,,,Low Water Level Alarm,Silver,6964716_2023-01-04 15:53:00,2023-01-04,Other Issues,Others,Others,Others
6965345,NI0605,2023-01-04 18:20:00,33.99999999557622,0.566666667,Power,,,,,Faulty Charging Alternator,Silver,6965345_2023-01-04 18:20:00,2023-01-04,Generator,Electrical,Charging Alternator,Failure
6966379,KD0630,2023-01-04 22:29:00,69.00000000488944,1.1500000000814907,Power,,,,,Emergency Stop Alarm,Silver,6966379_2023-01-04 22:29:00,2023-01-04,Other Issues,Others,Others,Others
6970153,AB0011,2023-01-05 17:52:00,93.00000000977889,1.5500000001629817,Power,,,,,Hybrid Automation Failure,Platinum,6970153_2023-01-05 17:52:00,2023-01-05,Hybrid Issues,Others,Others,Others
6969539,KB0459,2023-01-05 15:31:00,100.00000000116415,1.6666666666860692,Power,,,,,Faulty Contactor Relay,Silver,6969539_2023-01-05 15:31:00,2023-01-05,Other Issues,Others,Others,Others
6970816,KD0065,2023-01-05 21:36:00,95.99999999860302,1.599999999976717,Power,,,,,Rectifier Fault,Platinum,6970816_2023-01-05 21:36:00,2023-01-05,Other Equipment,Rectifier,Others,Others
6967055,KD0303,2023-01-05 04:02:00,137.9999999993015,2.2999999999883585,Power,,,,,Faulty Charging Alternator,Silver,6967055_2023-01-05 04:02:00,2023-01-05,Generator,Electrical,Charging Alternator,Failure
6971450,KN0217,2023-01-06 02:51:00,277.9999999946449,4.633333333244082,Power,,,,,Faulty Charging Alternator,Silver,6971450_2023-01-06 02:51:00,2023-01-06,Generator,Electrical,Charging Alternator,Failure
6971478,NI0563,2023-01-06 02:22:00,68.00000000162981,1.133333333360497,Power,,,,,Faulty Contactor Relay,Silver,6971478_2023-01-06 02:22:00,2023-01-06,Other Issues,Others,Others,Others
6971519,KD0472,2023-01-06 03:43:00,325.9999999939464,5.433333333,Power,,,,,Low Fuel,Silver,6971519_2023-01-06 03:43:00,2023-01-06,Generator,Mechanical,Fuel,Low Diesel
6971525,ZM0236,2023-01-06 03:40:00,185.99999999860304,3.099999999976717,Power,,,,,Other,Silver,6971525_2023-01-06 03:40:00,2023-01-06,Other Issues,Others,Others,Others
6971589,KD0726,2023-01-06 04:17:00,127.99999999813735,2.133333333302289,Power,,,,,Other,Silver,6971589_2023-01-06 04:17:00,2023-01-06,Other Issues,Others,Others,Others
6971743,KN0986,2023-01-06 05:56:00,37.00000000535511,0.6166666667559184,Power,,,,,Other,Silver,6971743_2023-01-06 05:56:00,2023-01-06,Other Issues,Others,Others,Others
6971916,KD0726,2023-01-06 07:04:00,155.0000000023283,2.5833333333721384,Power,,,,,Burnt Load Cable,Silver,6971916_2023-01-06 07:04:00,2023-01-06,Other Equipment,Electrical,Wiring,Cable
6972457,NI0342,2023-01-06 09:32:00,33.99999999557622,0.566666667,Power,,,,,Faulty Contactor Relay,Silver,6972457_2023-01-06 09:32:00,2023-01-06,Other Issues,Others,Others,Others
6972823,NI0028,2023-01-06 10:49:00,166.99999999953434,2.7833333333255723,Power,,,,,Faulty Contactor Relay,Platinum,6972823_2023-01-06 10:49:00,2023-01-06,Other Issues,Others,Others,Others
6974024,KG0482,2023-01-06 16:56:00,28.0,0.466666667,Power,,,,,Tripped DC circuit breaker,Silver,6974024_2023-01-06 16:56:00,2023-01-06,Generator,Electrical,Breaker,Tripped Circuit Breaker
6974670,AB1211,2023-01-06 20:38:00,201.9833333278075,3.3663888887967914,Power,,,,,Faulty Charging Alternator,Silver,6974670_2023-01-06 20:38:00,2023-01-06,Generator,Electrical,Charging Alternator,Failure
6975033,KG0052,2023-01-06 22:18:00,39.00000000139698,0.6500000000232831,Power,,,,,Low Fuel,Silver,6975033_2023-01-06 22:18:00,2023-01-06,Generator,Mechanical,Fuel,Low Diesel
6975208,AB1211,2023-01-06 22:21:00,98.98333332734182,1.6497222221223635,Power,,,,,Low Engine Oil,Silver,6975208_2023-01-06 22:21:00,2023-01-06,Generator,Mechanical,Engine,Low Engine Oil
6974670,AB1211,2023-01-07 00:00:00,129.00000000139698,2.150000000023283,Power,,,,,Faulty Charging Alternator,Silver,6974670_2023-01-07 00:00:00,2023-01-07,Generator,Electrical,Charging Alternator,Failure
6975208,AB1211,2023-01-07 02:10:00,0.999999993,0.016666667,Power,,,,,Low Engine Oil,Silver,6975208_2023-01-07 02:10:00,2023-01-07,Generator,Mechanical,Engine,Low Engine Oil
6976374,KG0063,2023-01-07 07:05:00,21.999999998370185,0.3666666666395031,Power,,,,,Faulty Radiator,Silver,6976374_2023-01-07 07:05:00,2023-01-07,Other Issues,Others,Others,Others
6976495,NI0342,2023-01-07 07:42:00,74.00000000023283,1.2333333333372138,Power,,,,,Suction Pipe Blocked,Silver,6976495_2023-01-07 07:42:00,2023-01-07,Other Issues,Others,Others,Others
6976579,NI0523,2023-01-07 08:01:00,5.000000005820766,0.083333333,Power,,,,,Hybrid Automation Failure,Silver,6976579_2023-01-07 08:01:00,2023-01-07,Hybrid Issues,Others,Others,Others
6976764,NI0325,2023-01-07 07:34:00,26.000000000931323,0.4333333333488554,Power,,,,,Faulty Contactor Relay,Silver,6976764_2023-01-07 07:34:00,2023-01-07,Other Issues,Others,Others,Others
6978968,KD0219,2023-01-07 18:15:00,10.000000001164151,0.1666666666860692,Power,,,,,Faulty Radiator,Silver,6978968_2023-01-07 18:15:00,2023-01-07,Other Issues,Others,Others,Others
6979315,KD0051,2023-01-07 20:16:00,62.99999999580905,1.0499999999301508,Power,,,,,Faulty Starter Motor,Silver,6979315_2023-01-07 20:16:00,2023-01-07,Other Issues,Others,Others,Others
6979380,AB1381,2023-01-07 19:57:00,32.99999999231659,0.5499999998719431,Power,,,,,Flat Starter Battery,Silver,6979380_2023-01-07 19:57:00,2023-01-07,Other Equipment,Battery,Starter Batteries,Starter Batteries
6979764,NI0124,2023-01-07 22:50:00,49.99999999534339,0.8333333332557231,Power,,,,,Faulty Charging Alternator,Platinum,6979764_2023-01-07 22:50:00,2023-01-07,Generator,Electrical,Charging Alternator,Failure
6979883,KD0307,2023-01-07 22:51:00,68.98333333432674,1.149722222238779,Power,,,,,Faulty Injector Pump,Silver,6979883_2023-01-07 22:51:00,2023-01-07,Generator,Mechanical,Injector Pump,Faulty Injector Pump
6979883,KD0307,2023-01-08 00:00:00,476.0000000009313,7.933333333348855,Power,,,,,Faulty Injector Pump,Silver,6979883_2023-01-08 00:00:00,2023-01-08,Generator,Mechanical,Injector Pump,Faulty Injector Pump
6980754,SK0476,2023-01-08 06:13:00,33.00000000279397,0.5500000000465661,Power,,,,,Dirty Fuel Pipe,Silver,6980754_2023-01-08 06:13:00,2023-01-08,Generator,Mechanical,Fuel,Others
6980847,NI0274,2023-01-08 07:09:00,38.999999990919605,0.6499999998486601,Power,,,,,Faulty Radiator,Silver,6980847_2023-01-08 07:09:00,2023-01-08,Other Issues,Others,Others,Others
6980951,KB0237,2023-01-08 07:38:00,34.99999999883585,0.5833333333139308,Power,,,,,Low Engine Oil,Silver,6980951_2023-01-08 07:38:00,2023-01-08,Generator,Mechanical,Engine,Low Engine Oil
6981224,KD0302,2023-01-08 09:29:00,14.00000000372529,0.2333333333954215,Power,,,,,Faulty Charging Alternator,Silver,6981224_2023-01-08 09:29:00,2023-01-08,Generator,Electrical,Charging Alternator,Failure
6981497,KN0334,2023-01-08 09:03:00,90.0,1.5,Power,,,,,Faulty Hybrid Batteries,Silver,6981497_2023-01-08 09:03:00,2023-01-08,Hybrid Issues,Others,Others,Others
6981620,NI0010,2023-01-08 13:25:00,4.999999995343387,0.083333333,Power,,,,,Faulty Charging Alternator,Platinum,6981620_2023-01-08 13:25:00,2023-01-08,Generator,Electrical,Charging Alternator,Failure
6981720,KD0302,2023-01-08 14:44:00,11.999999997206032,0.1999999999534338,Power,,,,,Faulty Radiator,Silver,6981720_2023-01-08 14:44:00,2023-01-08,Other Issues,Others,Others,Others
6981770,KD0063,2023-01-08 12:27:00,33.99999999557622,0.566666667,Power,,,,,Faulty Radiator,Silver,6981770_2023-01-08 12:27:00,2023-01-08,Other Issues,Others,Others,Others
6982092,SK0016,2023-01-08 14:38:00,59.99999999650754,0.9999999999417925,Power,,,,,Other,Platinum,6982092_2023-01-08 14:38:00,2023-01-08,Other Issues,Others,Others,Others
6982199,NI0018,2023-01-08 14:29:00,117.9999999969732,1.966666667,Power,,,,,Tripped DG & Mains Circuit Breakers,Gold,6982199_2023-01-08 14:29:00,2023-01-08,Generator,Electrical,Breaker,Tripped Circuit Breaker
6982217,AB0042,2023-01-08 15:10:00,74.00000000023283,1.2333333333372138,Power,,,,,Other,Silver,6982217_2023-01-08 15:10:00,2023-01-08,Other Issues,Others,Others,Others
6982587,KB0018,2023-01-08 18:03:00,23.00000000162981,0.3833333333604969,Power,,,,,Burnt Load Cable,Silver,6982587_2023-01-08 18:03:00,2023-01-08,Other Equipment,Electrical,Wiring,Cable
6982649,NI0523,2023-01-08 18:35:00,21.00000000558793,0.3500000000931322,Power,,,,,Mains Failure Alarm,Silver,6982649_2023-01-08 18:35:00,2023-01-08,Other Issues,Others,Others,Others
6982938,AB1229,2023-01-08 19:21:00,36.999999994877726,0.6166666665812954,Power,,,,,Hard Start Fail Alarm,Silver,6982938_2023-01-08 19:21:00,2023-01-08,Generator,Electrical,Battery,Hard Start
6987456,AB0163,2023-01-09 18:02:00,29.00000000023283,0.4833333333372138,Power,,,,,Start Fail Alarm,Silver,6987456_2023-01-09 18:02:00,2023-01-09,Other Issues,Others,Others,Others
6985904,AB1234,2023-01-09 12:51:00,7.000000001862645,0.1166666666977107,Power,,,,,Faulty DC Surge Arrestors,Silver,6985904_2023-01-09 12:51:00,2023-01-09,Other Issues,Others,Others,Others
6987443,AB1234,2023-01-09 17:38:00,65.99999999511056,1.0999999999185093,Power,,,,,Start Fail Alarm,Silver,6987443_2023-01-09 17:38:00,2023-01-09,Other Issues,Others,Others,Others
6987885,AB1234,2023-01-09 20:35:00,204.9833333,3.416388889,Power,,,,,AVR Failure,Silver,6987885_2023-01-09 20:35:00,2023-01-09,Other Issues,Others,Others,Others
6983790,JG0024,2023-01-09 03:17:00,20.99999999511056,0.3499999999185093,Power,,,,,Tripped DC circuit breaker,Gold,6983790_2023-01-09 03:17:00,2023-01-09,Generator,Electrical,Breaker,Tripped Circuit Breaker
6984022,JG0024,2023-01-09 06:00:00,11.999999997206032,0.1999999999534338,Power,,,,,CSU Failure,Gold,6984022_2023-01-09 06:00:00,2023-01-09,Other Issues,Others,Others,Others
6983705,JG0032,2023-01-09 01:51:00,321.0000000090804,5.35,Power,,,,,Weak DG,Silver,6983705_2023-01-09 01:51:00,2023-01-09,Other Issues,Others,Others,Others
6987532,KB0009,2023-01-09 18:31:00,40.00000000465661,0.6666666667442769,Power,,,,,Faulty Radiator,Platinum,6987532_2023-01-09 18:31:00,2023-01-09,Other Issues,Others,Others,Others
6987864,KB0009,2023-01-09 20:49:00,21.00000000558793,0.3500000000931322,Power,,,,,Faulty Radiator,Platinum,6987864_2023-01-09 20:49:00,2023-01-09,Other Issues,Others,Others,Others
6988256,KB0393,2023-01-09 23:07:00,52.983333334559575,0.8830555555759929,Power,,,,,,Silver,6988256_2023-01-09 23:07:00,2023-01-09,Other Issues,Others,Others,Others
6983992,KD0407,2023-01-09 05:40:00,143.99999999790452,2.3999999999650754,Power,,,,,Faulty Lift pump,Silver,6983992_2023-01-09 05:40:00,2023-01-09,Other Issues,Others,Others,Others
6983840,KD0423,2023-01-09 02:30:00,452.00000000651926,7.533333333441988,Power,,,,,DC Cables Theft,Silver,6983840_2023-01-09 02:30:00,2023-01-09,Other Equipment,Electrical,Wiring,Cable
6986807,KN0369,2023-01-09 15:40:00,52.999999994644895,0.8833333332440816,Power,,,,,Other,Silver,6986807_2023-01-09 15:40:00,2023-01-09,Other Issues,Others,Others,Others
6987596,KN0369,2023-01-09 18:46:00,130.99999999743886,2.183333333290648,Power,,,,,Engine Lost Compression,Silver,6987596_2023-01-09 18:46:00,2023-01-09,Generator,Mechanical,Engine,Loss Compression
6983538,KN0794,2023-01-09 00:09:00,111.00000000558794,1.8500000000931325,Power,,,,,Weak DG,Silver,6983538_2023-01-09 00:09:00,2023-01-09,Other Issues,Others,Others,Others
6983847,NI0035,2023-01-09 04:13:00,177.0000000006985,2.950000000011641,Power,,,,,Faulty Radiator,Silver,6983847_2023-01-09 04:13:00,2023-01-09,Other Issues,Others,Others,Others
6987948,NI0139,2023-01-09 21:02:00,57.00000000768341,0.9500000001280569,Power,,,,,Low Water Level Alarm,Silver,6987948_2023-01-09 21:02:00,2023-01-09,Other Issues,Others,Others,Others
6984450,NI0312,2023-01-09 07:03:00,87.00000000069849,1.4500000000116415,Power,,,,,Under Frequency,Silver,6984450_2023-01-09 07:03:00,2023-01-09,Other Issues,Others,Others,Others
6987304,NI0312,2023-01-09 17:37:00,21.999999998370185,0.3666666666395031,Power,,,,,Faulty Contactor Relay,Silver,6987304_2023-01-09 17:37:00,2023-01-09,Other Issues,Others,Others,Others
6987774,NI0390,2023-01-09 20:10:00,74.00000000023283,1.2333333333372138,Power,,,,,Faulty Water Separator,Silver,6987774_2023-01-09 20:10:00,2023-01-09,Generator,Mechanical,Fuel,Others
6984021,SK0029,2023-01-09 06:12:00,235.00000000116407,3.916666666686069,Power,,,,,AVR Failure,Silver,6984021_2023-01-09 06:12:00,2023-01-09,Other Issues,Others,Others,Others
6987463,SK0029,2023-01-09 18:30:00,113.99999999441206,1.899999999906868,Power,,,,,Faulty Injector Pump,Silver,6987463_2023-01-09 18:30:00,2023-01-09,Generator,Mechanical,Injector Pump,Faulty Injector Pump
