Issue Number,Alarm Severity,Status,Event Title,Airtel Site ID,ISM,ATC ID,Cluster,Regional Manager,Alarm Start Time,Alarm Cleared Time,DURATION,MTTR,MTTR RANGE,Root Cause,Specific Cause,Underlying Cause,Closing Details,Site Issue Type,ATC CLASS,AIRTEL CLASS,AIRTEL REGION,key
28350667,Closed,Major,SITE DOWN AT KD1070,KD1070,I-ENG,627855,Abuja Road,Emmanuel Okolo,01/07/2024 22:02,01/07/2024 22:56,53.99999999790453,0.8999999999650754,<2hrs,Power,DG Fault,DG In stop Mode,DG FAIL TO START ALARM DUE TO DG HYBRID SYNCHRONIZATION FAILURE FROM LIB TO DG WAS CLEARED,Incident,Silver,Silver,NORTH WEST,28350667_2024-07-01 22:02:00
28350336,Closed,Major,SITE DOWN AT KB0040,KB0040,I-ENG,402100,Yauri,John  Adejo,01/07/2024 21:59,01/07/2024 22:13,13.999999993247911,0.2333333332207985,<2hrs,Power,Fuel Outage,Other Planned Works,"TEAM CONFIRMED DIESEL WAS SUPPLIED AT SITE, DG POWERED. DL= 1560L DGRH= 6976",Planned Work,Silver,Silver,NORTH WEST,28350336_2024-07-01 21:59:00
28350299,Closed,Major,SITE DOWN AT JG0004,JG0004,I-ENG,401983,Dutse,Usman Shaibu,01/07/2024 21:33,01/07/2024 22:13,39.999999994179234,0.6666666665696539,<2hrs,Power,DC Power,Rectifier Fault,FROZEN RECTIFIER CSU WAS RESET,Incident,Platinum COLO,Platinum,NORTH EAST,28350299_2024-07-01 21:33:00
28350462,Closed,Major,SITE DOWN@ZM1538,ZM0380,I-ENG,626638,Talata,Ibrahim Lawan,01/07/2024 21:21,01/07/2024 21:47,26.000000000931323,0.4333333333488554,<2hrs,Power,DG Fault,Faulty Charging Alternator,FAULTY CHARGING ALTERNATOR  WAS EXCITED AND DG POWERED/ DIESEL LEVEL 1050L RH 8716,Incident,Platinum COLO,Silver,NORTH WEST,28350462_2024-07-01 21:21:00
28350383,Closed,Major,SITE DOWN@SK0416,SK0416,I-ENG,409287,Sokoto Ilela,John  Adejo,01/07/2024 21:21,01/07/2024 22:14,53.000000005122274,0.8833333334187046,<2hrs,Power,DG Fault,Faulty Battery,"CRANK DG BATTERY, EXTERNAL BATTERY WAS USED TO POWER SITE/DL385L RH 5788",Incident,Silver,Silver,NORTH WEST,28350383_2024-07-01 21:21:00
28349778,Closed,Major,SITE DOWN AT KD0004,KD0004,I-ENG,402124,Birnin Gwari,Emmanuel Okolo,01/07/2024 21:14,01/07/2024 22:06,51.99999999138527,0.8666666665230878,<2hrs,Power,DG Fault,DG In stop Mode,DG FAIL TO START ALARM: HYBRID SYNCHRONIZATION FAILURE FROM GRID TO GENERATOR DUE TO LOW PHCN VOLTAGE. DL=848L DGRH=1681712,Incident,Platinum COLO,Platinum,NORTH WEST,28349778_2024-07-01 21:14:00
28351384,Closed,Major,SITE DOWN AT KB0416,KB0416,I-ENG,626201,Kebbi Metro,John  Adejo,01/07/2024 21:03,01/07/2024 23:59,176.9833333301358,2.949722222,2hrs - 4hrs,Power,DG Fault,DG Starter Battery Fault,"WEAK DG BATTERY, EXTERNAL BATTERY WAS USED, DG POWERED",Incident,Silver,Silver,NORTH WEST,28351384_2024-07-01 21:03:00
28349043,Closed,Major,SITE DOWN@KN0242,KN0242,I-ENG,402525,Janguza,Usman Shaibu,01/07/2024 20:15,01/07/2024 21:58,103.00000000046566,1.7166666666744277,<2hrs,Power,DG Fault,Faulty Priming Pump,"FAULTY INJECTOR  PUMP WAS SERVICED/ DL 497L, RH 12583",Incident,Platinum COLO,Silver,NORTH EAST,28349043_2024-07-01 20:15:00
28349907,Closed,Major,SITE DOWN@AB1385,AB1385,I-ENG,408850,Kubwa,Uche Obasi,01/07/2024 20:08,01/07/2024 23:27,198.99999999906868,3.3166666666511446,2hrs - 4hrs,Power,Fuel Outage,Low Fuel,LOW DIESEL LEVEL  DIESEL WAS TOPPED AND DG POWERED / SITE DISCONNECTED ON GALOOLI,Incident,Platinum COLO,Silver,NORTH WEST,28349907_2024-07-01 20:08:00
28348914,Closed,Major,SITE DOWN AT NI0512,NI0512,I-ENG,408301,Minna 2,Yusuf Abdullahi,01/07/2024 20:08,01/07/2024 21:39,91.00000000325964,1.5166666667209938,<2hrs,Power,DG Fault,DG Electric Fuel Pump,"DG FAULTY INJECTOR PUMP WAS WORKED ON, DG POWERED",Incident,Platinum COLO,Silver,NORTH WEST,28348914_2024-07-01 20:08:00
28349804,Closed,Major,SITE DOWN@AB1359,FC2660-Z,I-ENG,409558,Kubwa,Uche Obasi,01/07/2024 20:00,01/07/2024 21:11,71.00000000093132,1.1833333333488554,<2hrs,Power,DC Power,Malfunctioning,FAULTY RECTIFIER FAN DUE TO OVER HEATING/ FAN WAS CONNECTED DIRECTLY/DL 328L RH 1104,Incident,Platinum COLO,Silver,NORTH WEST,28349804_2024-07-01 20:00:00
28348909,Closed,Major,SITE DOWN@KG0036,KG0036,I-ENG,402340,Lokoja,Uche Obasi,01/07/2024 19:38,01/07/2024 20:16,37.99999999813736,0.6333333333022892,<2hrs,Power,DG Fault,Generator Fault,DG LOSS COMPRESSION AT SITE; MDG WAS  USED TO POWER SITE/DL 217L RH 15342,Incident,Silver,Silver,NORTH WEST,28348909_2024-07-01 19:38:00
28348036,Closed,Major,SITE DOWN AT NI0512,NI0512,I-ENG,408301,Minna 2,Yusuf Abdullahi,01/07/2024 19:25,01/07/2024 19:32,6.999999991385266,0.1166666665230877,<2hrs,Power,DG Fault,Faulty Priming Pump,"FAULTY INJECTOR  PUMP WAS WORKED ON AND DG POWERED_x000D_
DL  660  RH  20987",Incident,Platinum COLO,Silver,NORTH WEST,28348036_2024-07-01 19:25:00
28347724,Closed,Major,SITE DOWN AT NI0280,NI0280,I-ENG,403493,Suleja,Yusuf Abdullahi,01/07/2024 18:46,01/07/2024 19:42,55.99999999,0.933333333,<2hrs,Power,DG Fault,DG Overheating,"DG HIGH TEMPERATURE DUE TO LOW COOLANT LEVEL. COOLANT LEVEL WAS TOPPED, DG POWERED",Incident,Platinum COLO,Silver,NORTH WEST,28347724_2024-07-01 18:46:00
28347176,Closed,Major,SITE DOWN AT JG0004+3SUBS,JG0004,I-ENG,401983,Dutse,Usman Shaibu,01/07/2024 18:32,01/07/2024 19:25,53.000000005122274,0.8833333334187046,<2hrs,Power,DC Power,AC Breaker Fault|Tripped Rectifier Circuit Breaker,"FAULTY RECTIFIER LOAD BRAKER WAS WORKED ON_x000D_
DL  491   RH 44",Incident,Platinum COLO,Platinum,NORTH EAST,28347176_2024-07-01 18:32:00
28347463,Closed,Major,SITE DOWN AT SK0397,SK0397,I-ENG,627644,Sokoto 2,John  Adejo,01/07/2024 18:25,01/07/2024 22:05,220.0000000046566,3.666666666744277,2hrs - 4hrs,Power,DG Fault,Faulty Priming Pump,"FAULTY INJECTOR  PUMP WAS SERVICED/ DL 375L, RH 5345",Incident,Silver,Silver,NORTH WEST,28347463_2024-07-01 18:25:00
28347538,Closed,Major,SITE DOWN AT KD0170,KD0170,I-ENG,402248,Kafanchan 2,Emmanuel Okolo,01/07/2024 18:12,01/07/2024 19:06,53.99999999790453,0.8999999999650754,<2hrs,Power,DG Fault,DG AC Alternator fault,FAULTY CHARGING ALTERNATOR  WAS EXCITED AND DG POWERED,Incident,Silver,Silver,NORTH WEST,28347538_2024-07-01 18:12:00
28347504,Closed,Major,SITE DOWN AT SK0380,SK0380,I-ENG,409093,Sokoto 2,John  Adejo,01/07/2024 18:11,01/07/2024 20:38,146.99999999720603,2.449999999953434,2hrs - 4hrs,Power,DG Fault,DG Oil,"LOW OIL LEVEL, ENGINE OIL WAS TOPPED AND DG POWERED/DL 416L RH 22741",Incident,Silver,Silver,NORTH WEST,28347504_2024-07-01 18:11:00
28346246,Closed,Major,SITE DOWN AT KN0036,KN0036,I-ENG,402434,Kano 2,Usman Shaibu,01/07/2024 17:47,01/07/2024 21:00,193.0000000004657,3.216666666674428,2hrs - 4hrs,Power,DG Fault,Faulty Priming Pump,FAULTY  INJECTOR ROTOR HEAD WAS REPLACED AND DG POWERED/ DL 371L RH12583,Incident,Platinum COLO,Silver,NORTH EAST,28346246_2024-07-01 17:47:00
28346139,Closed,Major,SITE DOWN AT FC5955,FC5955,I-ENG,405017,Lugbe,Uche Obasi,01/07/2024 17:41,01/07/2024 19:14,92.99999999930152,1.5499999999883585,<2hrs,Power,DG Fault,Generator Fault,FAULTY EXHAUST WAS WORKED ON AND DG POWERED,Incident,Platinum COLO,Silver,NORTH WEST,28346139_2024-07-01 17:41:00
28344704,Closed,Major,SITE DOWN AT FC2657,FC2657-Z,I-ENG,409895,Kubwa,Uche Obasi,01/07/2024 15:57,01/07/2024 18:13,136.00000000325963,2.266666666720994,2hrs - 4hrs,Power,DG Fault,Water Pump Fault,FAULTY  INJECTOR PUMP WAS SERVICED,Incident,Silver,Silver,NORTH WEST,28344704_2024-07-01 15:57:00
28341526,Closed,Major,SITE DOWN AT AB1198,AB1198,I-ENG,408121,CBD,Uche Obasi,01/07/2024 13:55,01/07/2024 14:28,33.00000000279397,0.5500000000465661,<2hrs,Power,Fuel Outage,Low Fuel,"LOW DIESEL AT SITE, DIESEL WAS TOPPED AND DG POWERED",Incident,Silver,Silver,NORTH WEST,28341526_2024-07-01 13:55:00
28341303,Closed,Major,SITE DOWN AT KN0049,KN0049,I-ENG,402447,Hotoro,Usman Shaibu,01/07/2024 13:43,01/07/2024 15:27,104.00000000372528,1.7333333333954215,<2hrs,Power,DG Fault,DG Hard Start,"SYNC FAILURE  FROM HYBRID TO DG DUE TO DG FAILED TO START ,ALARM CLEARED DG POWERED_x000D_
DL  355  RH  6098",Incident,Platinum COLO,Gold,NORTH EAST,28341303_2024-07-01 13:43:00
28340956,Closed,Major,SITE DOWN@KN0244,KN0244,I-ENG,402526,Kano 6,Usman Shaibu,01/07/2024 13:26,01/07/2024 13:38,12.000000007683411,0.2000000001280568,<2hrs,Power,DC Power,LIB Fault|Malfunctioning LIBs,"FAULTY LIB ALARM WAS CLEARED AND DG POWERED_x000D_
DL  417  RH  8469",Incident,Silver,Silver,NORTH EAST,28340956_2024-07-01 13:26:00
28341460,Closed,Major,SITE DOWN AT SK0001,SK0001,I-ENG,404555,Sokoto 2,John  Adejo,01/07/2024 13:13,01/07/2024 16:20,187.00000000186265,3.1166666666977108,2hrs - 4hrs,Power,DG Fault,Cylinder Head Gasket Fault,BURNRT TOP CYLINDER GASKET/TOP GASKET WAS REPLACED AND DG POWERED,Incident,Gold,Gold,NORTH WEST,28341460_2024-07-01 13:13:00
28340785,Closed,Major,SITE DOWN AT NI0345,NI0345,I-ENG,403530,Mokwa,Yusuf Abdullahi,01/07/2024 13:06,01/07/2024 13:56,50.000000005820766,0.8333333334303461,<2hrs,Power,Fuel Outage,Low Fuel,"LOW DIESEL AT SITE, DIESEL WAS TOPPED AND DG POWERED_x000D_
DL  660  RH  9382",Incident,Silver,Silver,NORTH WEST,28340785_2024-07-01 13:06:00
28340216,Closed,Major,SITE DOWN AT KN0326,KN0326,I-ENG,402549,Kano 2,Usman Shaibu,01/07/2024 12:51,01/07/2024 13:27,36.00000000209548,0.6000000000349246,<2hrs,Power,DG Fault,Faulty Priming Pump,"FAULTY INJECTOR  PUMP WAS WORKED ON AND DG POWERED_x000D_
DL  376  RH  8277",Incident,Platinum COLO,Silver,NORTH EAST,28340216_2024-07-01 12:51:00
28339785,Closed,Major,SITE DOWN@KG0391,KG0391,I-ENG,408209,Okene,Uche Obasi,01/07/2024 12:08,01/07/2024 15:44,215.9999999916181,3.5999999998603016,2hrs - 4hrs,Power,DG Fault,Generator Fault,DG loss compression and it was worked on and also faulty injector pump was also worked on,Incident,Platinum COLO,Silver,NORTH WEST,28339785_2024-07-01 12:08:00
28338493,Closed,Major,SITE DOWN AT KG0304,KG0304,I-ENG,402394,Lokoja,Uche Obasi,01/07/2024 11:55,01/07/2024 12:02,6.999999991385266,0.1166666665230877,<2hrs,Power,DG Fault,Faulty Fuel Solenoid,FAULTY SOLENIOD SWITCH WAS WORKED ON AND DG POWERED,Incident,Silver,Silver,NORTH WEST,28338493_2024-07-01 11:55:00
28337863,Closed,Major,SITE DOWN AT NI0345,NI0345,I-ENG,403530,Mokwa,Yusuf Abdullahi,01/07/2024 11:11,01/07/2024 11:43,31.99999999953434,0.5333333333255723,<2hrs,Power,Fuel Outage,Low Fuel,"LOW DIESEL AT SITE, DIESEL WAS TOPPED AND DG POWERED_x000D_
DL  660  RH  9382",Incident,Silver,Silver,NORTH WEST,28337863_2024-07-01 11:11:00
28335885,Closed,Major,SITE DOWN AT AB0059,AB0059,I-ENG,400043,CBD,Uche Obasi,01/07/2024 10:31,01/07/2024 10:36,4.999999995343387,0.083333333,<2hrs,Power,DC Power,Hybrid Fault,SYNCHRONIZATION DELAY FROM GRID TO HYBRID DUE TO LOW PHASE AND DG WAS POWERED,Incident,Platinum,Platinum,NORTH WEST,28335885_2024-07-01 10:31:00
28335994,Closed,Major,SITE DOWN AT SK0001,SK0001,I-ENG,404555,Sokoto 2,John  Adejo,01/07/2024 10:18,01/07/2024 11:37,78.99999999557622,1.316666666592937,<2hrs,Power,DG Fault,Generator Fault,FAULTY MAIN DG / BUB WAS USED TO RESTORE SITE,Incident,Gold,Gold,NORTH WEST,28335994_2024-07-01 10:18:00
28335697,Closed,Major,SITE DOWN AT KD0085,KD0085,I-ENG,402203,Zaria 2,Emmanuel Okolo,01/07/2024 09:03,01/07/2024 10:14,71.00000000093132,1.1833333333488554,<2hrs,Power,DG Fault,Faulty Fuel Solenoid,FAULTY SOLENIOD SWITCH WAS WORKED ON AND DG POWERED,Incident,Platinum COLO,Gold,NORTH WEST,28335697_2024-07-01 09:03:00
